song,album,lyrics
Unknown Mac Miller Song,Unknown,"Imagine holding the weight of the world, shit I don't know what to make of the world So I make music for the soul Somethin beauty, getcha glowed Burnin it if you want it Just to do it on your own My homies always with me Never goin' out alone I'm feelin' like I'm at home Don't touch me I'm in my zone The game a girl who been rushin' me off the phone But now she let me in and we definitely gon' get it on Yeah that's my style That's why everybody know the kid They interested with it Don't matter 'bout what the focus is Do away the hopelessness Track I got them hopin' with It's potent but they smokin' it Thought I threw some coke in it But no I didn' I'm just spittin a rendition Of my version of tradition So respect is all I'm givin' They comin at my neck You must be kiddin, chill I'm just a kid that's on a mission, ya sittin, hey! Jay callin me a bitch and fake Cuz I flip this great And you will just wait Go getcha grind on My shit ain't whatcha should have your mind on It's something that you don't need to be spendin' all your time on I get my rhyme on, that's just what I do And if you've known me for a minute Know it isn't nothin new I'm not One in a few I'm just something that's true Something just like me And nothin' like you Probably do the same thing Homie we cool But I'm me and that's nothin' like you What the fuck happened? Woke up from a dream now difference passin' I remember you, If I don't see you, take it easy Be cool, be on your way! I just got people here that need me For the music that they play"
Up All Night,"{'api_path': '/albums/1135846', 'cover_art_url': 'https://images.genius.com/8b41f384d4203e5d70ad94eac6e90720.1000x1000x1.png', 'full_title': 'Blue Slide Park (Commentary Version) by Mac Miller', 'id': 1135846, 'name': 'Blue Slide Park (Commentary Version)', 'primary_artist_names': 'Mac Miller', 'release_date_for_display': 'November 15, 2011', 'url': 'https://genius.com/albums/Mac-miller/Blue-slide-park-commentary-version', 'artist': {'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}, 'primary_artists': [{'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}]}","One, two One, two, three, go (Hey, hey, hey, hey) Fill it up, fill it up (Hey, hey, hey, hey) Fill it up, fill it up (Hey, hey, hey) Fill it up, fill it up (Hey, hey, hey) Fill it up, fill it up Let me get another cup, please I ain't drivin' home, so you can have my keys Got a bunch of tricks all hidden in my sleeve So I'ma get drunk, won't be leavin' 'til three Yeah, I got a reputation of gettin' wasted Everything in sight, homie, we ain't tryna save shit Leave the spot dizzy, so nah, I can't see, bitch Sexy bartenders always get a really mean tip Life's so good, please enjoy it End of every night when your head's in the toilet Yeah, we party hard, give a fuck about employment Kill the whole bottle, we'll be spinnin' like a coin flip Yeah, we ain't goin' home no time soon I'm on shot number four, times two Stand by the keg, let the hoes find you Gettin' nice, I'll be up all night (Hey, hey, hey) We stayin' up all night I ain't got shit to do tomorrow, tomorrow We up all night I ain't got shit to do tomorrow, tomorrow We up all night I ain't got shit to do tomorrow, tomorrow We up all night I ain't got shit to do tomorrow, tomorrow We up all night Drink, drink, drink, drink (Hey, hey, hey) Drink, drink, drink, drink (Hey, hey, hey) Drink 'til we can't no more (Hey, hey, hey) We gon' drink, drink, drink, drink (Hey, hey, hey) Drink, drink, drink, drink (Hey, hey, hey) Drink 'til we can't no more (Hey, hey, hey) Head starts spinnin' and my legs get wobbly Every mornin' wake up, liquor in my coffee Yeah, I'm tryna party, find a open house crib Screw the law, we just some motherfuckin' kids Never listen to nobody who was tryin' to tell me ""No"" 'Cause I got no problem bein' way outta control Got these ladies goin' crazy at every single show But you ain't drunk enough until you takin' off your clothes Not me, you can do you Do some crazy shit that's poppin' up on YouTube Finna rock out, I ain't talkin' U2 Passin' out, wakin' up without shoes Live life on the edge, sharper than a razor Like my liquor straight, I don't ever need a chaser Have a good time, ain't no reason we should fight Party with me, we stayin' up all night (Hey, hey, hey) We stayin' up all night I ain't got shit to do tomorrow, tomorrow We up all night I ain't got shit to do tomorrow, tomorrow We up all night I ain't got shit to do tomorrow, tomorrow We up all night I ain't got shit to do tomorrow, tomorrow We up all night Drink, drink, drink, drink (Hey, hey, hey) Drink, drink, drink, drink (Hey, hey, hey) Drink 'til we can't no more (Hey, hey, hey) We gon' drink, drink, drink, drink (Hey, hey, hey) Drink, drink, drink, drink (Hey, hey, hey) Drink 'til we can't no more (Hey, hey, hey) (Hey, hey, hey, hey) Fill it up, fill it up (Hey, hey, hey, hey) Fill it up, fill it up (Hey, hey, hey) Fill it up, fill it up (Hey, hey, hey) Fill it up, fill it up (Hey, hey, hey, hey) Fill it up, fill it up (Hey, hey, hey, hey) Fill it up, fill it up (Hey, hey, hey) Fill it up, fill it up (Hey, hey, hey) We stayin' up all night I ain't got shit to do tomorrow, tomorrow We up all night I ain't got shit to do tomorrow, tomorrow We up all night I ain't got shit to do tomorrow, tomorrow We up all night I ain't got shit to do tomorrow, tomorrow We up all night Drink, drink, drink, drink (Hey, hey, hey) Drink, drink, drink, drink (Hey, hey, hey) Drink 'til we can't no more (Hey, hey, hey) We gon' drink, drink, drink, drink (Hey, hey, hey) Drink, drink, drink, drink (Hey, hey, hey) Drink 'til we can't no more (Hey, hey, hey)"
Up All Night - Commentary,"{'api_path': '/albums/1135846', 'cover_art_url': 'https://images.genius.com/8b41f384d4203e5d70ad94eac6e90720.1000x1000x1.png', 'full_title': 'Blue Slide Park (Commentary Version) by Mac Miller', 'id': 1135846, 'name': 'Blue Slide Park (Commentary Version)', 'primary_artist_names': 'Mac Miller', 'release_date_for_display': 'November 15, 2011', 'url': 'https://genius.com/albums/Mac-miller/Blue-slide-park-commentary-version', 'artist': {'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}, 'primary_artists': [{'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}]}","Track ten, that's Up All Night You know, that’s just like the straight party anthem You know, uh, I actually played guitar on that joint That's like sounds simmering moon Mighty, mighty bar stones Um, to me, man, that's just the perfect song To, to bring out the energy in people And, you know, I feel like some people may look at us like You know, some frat rap song But to me, it’s just a party song and I just wanna make it clear that you don't gotta be in a fraternity party, everybody likes to party"
Vices,Unknown,"Yeah, okay Yeah, yeah, yeah, yeah Yeah, I'm on yo' head Yeah, I'm on yo' head Okay, I'm on yo' head I'm on yo'— (Yeah) Okay, I'm on yo' head like a bookie when you overdue Been dead, I just wrote the tune I'm CNN to the local news See, what I do inside this vocal booth Can only be described as a screw when it's goin' loose I know the truth is only spoken to a chosen few Know the rules get broken like a bone when I get hold of you So don't you move Hotel room of hoes come with ocean views Heaven here below the roof Heaven here below the roof She lick the liquor off me It's a hobby tryna keep all of these bitches off me When they really want me, and the Dick is godly, stick is Crosby It isn't hockey, but this game is cold as veins that flow within a zombie Bless you when I'm in your body The main event on every television set, so don't forget to watch me Became rich, I ain't been the same since Now my whip speak a different language, and it's always talkin' I'm no angel, no wings, no halo I got vices too Woah, woah, woah, woah I get fed up and I get fucked up Said, I got vices too Woah, woah, woah, woah Jameson and ginger ale, please I'm stressin', gotta get this cheese Jameson and ginger ale, please Jameson and ginger ale, please (Bartender! Bartender!) Jameson and ginger ale, please I know I'm hard to handle Lookin' for me, find me at the bottom of a barrel Yeah, work some other cheap skirts like old Camaro Lookin' like a pharaoh Can't find the actavis, these niggas sippin' yellow I thought I always had to drink to try to fight depression Now I go and spend the bank up on a normal necklace Now I'm jumpin' in these bitches just to ease the pressure I always keep the golden glover, that my lethal weapon I always had the crazy visions of the foreign vessels Stressed out, pop a blood vessel Took off like a skud missile Listen, man, I always been in rule since middle school Gotta stay fucked up, that's the golden rule Ain't too much to prove They wanna drink the juice, so they gotta squeeze the prune Got bills while I'm lookin' for a freak God, I'll deal with that shit next week, next week I'm no angel, no wings, no halo I got vices too Woah, woah, woah, woah I get fed up and I get fucked up Said, I got vices too Woah, woah, woah, woah Jameson and ginger ale, please I'm stressin', gotta get this cheese Jameson and ginger ale, please Jameson and ginger ale, please (Bartender! Bartender!) Jameson and ginger ale, please"
Vienna,Unknown,"Slow down, crazy child You're so ambitious for a juvenile But if you're so smart, tell me, why is you still so afraid? Where's the fire, what's the hurry 'bout? Better cool it off before you burn it out So much to do, only so many hours in a day, hey You know when the truth is told You can get what you want, you can just get old Gonna kick off 'fore you even get halfway through, ooh When will you realize Vienna waits for you? Slow down, doin' fine You can't be everything you want to be before your time Though it's so romantic on the borderline tonight, tonight Too bad, it's the life you lead So ahead of yourself that you forgot what you need You can see when you're wrong You know, can't always see when you're right, you're right Got your passion, got your pride Don't you know that only fools are satisfied? Dream on, don't imagine they'll all come true, ooh When will you realize Vienna waits for you? Slow down, crazy child Take the phone off the hook and disappear for a while It's alright, you can afford to lose a day or two"
Vitamins,"{'api_path': '/albums/15274', 'cover_art_url': 'https://images.genius.com/9f3e31668f35e32bd3eddb95e203e518.1000x1000x1.png', 'full_title': 'Macadelic by Mac Miller', 'id': 15274, 'name': 'Macadelic', 'primary_artist_names': 'Mac Miller', 'release_date_for_display': 'March 23, 2012', 'url': 'https://genius.com/albums/Mac-miller/Macadelic', 'artist': {'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}, 'primary_artists': [{'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}]}","Well Take your vitamins Well, I was on my way to meet up with this woman that I met The other day, while I was on my break to smoke cigarettes I hit her up, she had some weed and told me, ""Come through, we should smoke Bring a pair of lungs, don't bring no money, baby, I ain't broke"" So I'm walkin' up the stairs to the porch Knocked against the door, heard some feet against the floor The door, it opened up and it was her She told me, ""Hurry, come right in Leave your shoes up by the front, 'cause we just put new carpets in"" She asked me 'bout my day, then sat me down Told me, ""We should have some fun, there ain't nobody around"" She got this crazy pill the other day when she was on her way to work Told me it would make my problems go away and fix the hurt That I had, well, that don't sound bad Down the hatch, kinda nervous, ""Just relax,"" she said rubbin' on my back Well, I ain't really into drugs, but fuck it I'ma take a trip and I'ma love it (Love it) I don't know what happened to me But as soon as it hit me, I was fuckin' free It took me to somewhere off the map And I don't think I'll ever find my way back, back I left right after that and started drivin' to my house where I reside I was high and possibly a little fuckin' out my mind Can't remember where I live, it ain't like I just bought this house I said, ""Fuck it,"" took a breath, opened my door and just jumped out And it's funny 'cause I didn't even hit against the road I just went right through the ground and started floatin' on my own I see colors, different colors like they glowin' and they're light They was glowin' like they glowin' in the dark, but it was bright That's alright, this shit crazy, what the fuck she had me take? If this kill me, I'ma come back, haunt her every single day As I wait, sittin' somewhere that I never seen Feel like I forever dream, just imagine, set a scene Power and imagination got all my surroundings changin' Found a place to drown my brain in somethin' like it's outer space But nothin' like the pictures from the astronauts they showed me back at school When they told me drugs were bad, oh man, oh man, they had me fooled I don't know what happened to me But as soon as it hit me, I was fuckin' free It took me to somewhere off the map And I don't think I'll ever find my way back, back"
Wake Up,"{'api_path': '/albums/11886', 'cover_art_url': 'https://images.genius.com/2fe62acfc7f77faa428fcda2d809eb31.1000x1000x1.png', 'full_title': 'Best Day Ever by Mac Miller', 'id': 11886, 'name': 'Best Day Ever', 'primary_artist_names': 'Mac Miller', 'release_date_for_display': 'March 11, 2011', 'url': 'https://genius.com/albums/Mac-miller/Best-day-ever', 'artist': {'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}, 'primary_artists': [{'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}]}","Uh, haha (Hey, hey, hey) Go and ride with me, get high with me You lookin' fly with me, go and ride with me (Uh, uh, uh) Just vibe with me, get high with me (And it's the best day ever) In the sky with me, come and ride with me (Aha) Get high with me, tonight with me, hey (We just havin' fun, man) They tell me I'm the shit, I'm like, duh? Girls on my dick, I'm like, duh? Gettin' stupid in this bitch, so what's up? Wake the whole damn world, homie, I don't give a fuck Young, rich, and famous, thanks for askin', how are you? Party every night, that's exactly what I do Gettin' stupid in this bitch, so what's up? Wake the whole damn world, homie, I don't give a fuck Wake up, up-up-up-up Wake up, up-up-up-up Wake up, up-up-up-up Wake up, up-up-up-up Wake up, up-up-up-up (Oh) Wake up, up-up-up-up Wake up, up-up-up-up (Oh) Wake up, up-up-up-up Wake up Hey, they say, ""It's so funny, you're nobody with more money"" And the hoes love me, yeah, these other kids don't touch me Full contact rap, no rugby Pretty boy flow, why your girl so ugly? My bitches don't want anybody but me They puff trees, sip liquor, and suck D Got a lot of people worried about the things I say And a lot of different haters that they bring my way I let 'em grill though, they can watch the money pile While these groupie hoes run and try to hunt me down Now every day feelin' like the best day ever Heard it's a long road, but it get way better A little money in my pocket, but my eyes on a million Got these doubters listenin', surprised when they feel him Ballin' like Jordan, you ballin' like Wilson Feelin' like a kid again, chillin', watchin' Gilligan I don't think they want to interrupt my party Please don't interrupt my party We just tryna find somebody for the night I don't think they want to interrupt my party Please don't interrupt my party We just tryna find somebody for the night They tell me I'm the shit, I'm like, duh? Girls on my dick, I'm like, duh? Gettin' stupid in this bitch, so what's up? Wake the whole damn world, homie, I don't give a fuck Young, rich, and famous, thanks for askin', how are you? Party every night, that's exactly what I do Gettin' stupid in this bitch, so what's up? Wake the whole damn world, homie, I don't give a fuck Wake up, up-up-up-up Wake up, up-up-up-up Wake up, up-up-up-up Wake up, up-up-up-up Wake up, up-up-up-up (Oh) Wake up, up-up-up-up Wake up, up-up-up-up (Oh) Wake up, up-up-up-up Wake up Hey, hear the alarm, time to start the day Rub my eyes, light some weed, send my mind on its way I'm gone, somewhere to my own dimension I show these hoes no affection Just party every night, gettin' so demented Half the time, I'm lookin' in the mirror, seein' no reflection Got me wonderin', why don't they get it? Spend the night with me, sure you won't regret it Got some liquor on the way, the weed is twistin', you should stay You still listen when they say the kid is spittin', gettin' paid But my differences in age got me shittin' with a rage 'Cause what's written on the page straight sicker than some AIDS I came to get fucked up (Fucked up), I, I came to act wild (Wild) You, you came to prepare for the future (Future), I live for right now (Now) I don't think they want to interrupt my party Please don't interrupt my party We just tryna find somebody for the night I don't think they want to interrupt my party Please don't interrupt my party We just tryna find somebody for the night They tell me I'm the shit, I'm like, duh? Girls on my dick, I'm like, duh? Gettin' stupid in this bitch, so what's up? Wake the whole damn world, homie, I don't give a fuck Young, rich, and famous, thanks for askin', how are you? Party every night, that's exactly what I do Gettin' stupid in this bitch, so what's up? Wake the whole damn world, homie, I don't give a fuck Wake up, up-up-up-up Wake up, up-up-up-up Wake up, up-up-up-up Wake up, up-up-up-up Wake up, up-up-up-up (Oh) Wake up, up-up-up-up Wake up, up-up-up-up (Oh) Wake up, up-up-up-up Wake up"
Wake Up (2015/16),Unknown,"Wake up, wake up Wake up, ring, ring, ring Wake up, wake up Wake up, ring, ring, ring Wake up, wake up Wake up, ring, ring, ring Wake up, wake up Wake up, ring, ring Welcome to reality It's either this or your fatality I am gravity, I am your majesty I'm the truth and that's a reason that you mad at me I'm the source of all your power, I'm your battery I can either be the end or be your masterpiece I can either be a friend or be a casualty I am your addiction, you are attached to me You try to run away, but always comin' back to me Good and evil, I am duality I'm the creator, I am God inside his factory I'm blasphemy, I'm standin' on the edge And there ain't a place I'd rather be Yeah, you have a dream, you have a dream But if you not ready to wake up, then go back to sleep Open up your eyes, yeah, you have to see Fuck rulin' the world, I want the galaxy It's time to wake up (Wake up, wake up, wake up) Good mornin' (Wake up, wake up) Good mornin', motherfucker (Wake up, wake up, wake up) It's time to wake up (Wake up, wake up, wake up) Good mornin' (Wake up, wake up) Good mornin', motherfucker (Wake up, wake up, wake up) It's time to wake up (Wake up, wake up, wake up) Good mornin' (Wake up, wake up) Good mornin', motherfucker (Wake up, wake up, wake up) It's time to wake up (Wake up, wake up, wake up) Good mornin' (Wake up, wake up, wake up)"
Walkin’ Home,"{'api_path': '/albums/96053', 'cover_art_url': 'https://images.rapgenius.com/03a36e405c6386e2d4dbecee19bee1af.500x500x1.jpg', 'full_title': 'Home N Stoned by TreeJay & CLOCKWORKDJ', 'id': 96053, 'name': 'Home N Stoned', 'primary_artist_names': 'TreeJay & CLOCKWORKDJ', 'release_date_for_display': 'April 20, 2014', 'url': 'https://genius.com/albums/Treejay-and-clockworkdj/Home-n-stoned', 'artist': {'api_path': '/artists/125252', 'header_image_url': 'https://images.genius.com/4c4463064796c9f8e3e728e2af17070f.423x423x1.jpg', 'id': 125252, 'image_url': 'https://images.genius.com/4c4463064796c9f8e3e728e2af17070f.423x423x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'TreeJay', 'url': 'https://genius.com/artists/Treejay'}, 'primary_artists': [{'api_path': '/artists/125252', 'header_image_url': 'https://images.genius.com/4c4463064796c9f8e3e728e2af17070f.423x423x1.jpg', 'id': 125252, 'image_url': 'https://images.genius.com/4c4463064796c9f8e3e728e2af17070f.423x423x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'TreeJay', 'url': 'https://genius.com/artists/Treejay'}, {'api_path': '/artists/1698077', 'header_image_url': 'https://images.genius.com/e86fe94794441839815da5ac122b9d5e.400x400x1.jpg', 'id': 1698077, 'image_url': 'https://images.genius.com/e86fe94794441839815da5ac122b9d5e.400x400x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'CLOCKWORKDJ', 'url': 'https://genius.com/artists/Clockworkdj'}]}","Yeah It's not official news here, as far as I'm concerned it didn't happen You shut your mouth! What are you afraid of, because the people might find out? One time This news is not official You were never under the assumption, it's perfectly clear Two times Three times I said it was none of your goddamn business! One time Tw-two times, two, there's two times, two times Three, three, three times Okay, okay, okay, okay, okay ( Good morning Vietnam! ) Um, yeah Raps millenniums (Okay) Ain't no use tellin' 'em my plans for the rebellion (No) The music, I'm an innovator, power, no generator It's the same me, just a couple new developments (It's me) They sellin' us our dreams And we couldn't buy 'em back if they were sellin' 'em for free (Cha-ching) I speak for the diseased and the misunderstood I left the 'Burgh for a minute, but it's still all good (Still all good) I push the Beamer and the Benz, about to cop the Bentley (Bentley) Fuck your feelings and your friends, you will not correct me (No) I do this shit correctly, leave a murder scene messy Dancin' with two lefties, screamin' fuckin' Elvis Presley (Okay) What do you do when you want to get high So you call up your connect, your connect tell you he's dry It's time to quarantine, thinkin' you for sure a fiend Now your pleasant dreams start to morph into a horror scene (No) I take morphine and drink chlorine (Uh-huh) Hit the zoo, see the lion cage and have an orgy Drink WD-40, tell a bunch of stories about the make-believe glory (Uh) It's that back-ally bum fight, make sure you sittin' up right Aristocratic pussy, ring her bell, then she cum twice I never read the horoscopes Go to see the oracle for fortunes, I ignore her, though (Let's go) Just a couple words from my mortal soul (Mortal soul) Time travel, tryin' to get back but the portal closed (Portal closed) All-terrain game, bitch, I'm durable (Yeah) Mr. Drifter, everything is portable (Let's go) I'm playin' dominoes with the common folk (Hello) Lose a hundred dollars quickly, guess that's all she wrote (Hello) And everybody got their pot of gold (Uh-huh) Even if it's just a loose fifty in the laundry load (Goddamn) Start to understand, we are not alone (Nope) Try to figure out the difference between frogs and toads (Ribbit) Shit gets real, then you gotta go (Okay) It's a rocky road when you walkin' home Yeah You walkin' home, I'm walkin' home Just a couple thoughts as I'm walkin' home Lookin' at my feet as I'm walkin' home Lookin' at the street as I'm walkin' home Thinkin' of my dreams as I'm walkin' home Be safe when you walkin' home When you walkin' home, I'm walkin' home"
War Games Freestyle,"{'api_path': '/albums/625481', 'cover_art_url': 'https://images.genius.com/2c7939c532e897ad64161b49baf7b9ba.180x180x1.png', 'full_title': 'But My Mackin’ Ain’t Easy by Mac Miller', 'id': 625481, 'name': 'But My Mackin’ Ain’t Easy', 'primary_artist_names': 'Mac Miller', 'release_date_for_display': 'November 1, 2007', 'url': 'https://genius.com/albums/Mac-miller/But-my-mackin-aint-easy', 'artist': {'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}, 'primary_artists': [{'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}]}","War games, war games Aight Aight, yeah Yeah Uh, yo Uh, yo, yo Easy Mac, but my mackin' ain't easy The other rappers satis-factually are so cheesy You wanna get up to me, the game needs me I be ya bitch like a beat says, ""Please me"" So I don't even know, but I keep on teasing I just keep on doin' it, it's a Point Breeze thing I'ma about to do it, it's the trees bring-brought And you's about to get shot 'Cause my shit is lyrical, it gets sent to you like spiritual If you wanna do it, I'm a kid in school Just tryna hit the bull, this shit is so typical, it's pitiful Shittin' on this chick 'cause I'm hittin' you I'ma hit you back with some shit, as a matter of fact Nobody can say what I can say, nobody can do that So I can do that, baby, screw cats And I'm about to do it, baby, yeah, I knew that And if you wanna come and get into the room back I'ma come to you dressed in black, that is how I act So if you wanna come, you can't even see me or be me Malcolm McCormick is on the CD, it's so easy And matter fact, it's Easy Mac Got some good tree or weed, give me four Gs of that Maybe a little more, get maybe a quarter And I'm about to do it, lyrical slaughter I'm about to do it 'cause this shit's like water I make it rain, I make it pour on you haters I make it rain like the Lakers Yo Uh Yo Easy Mac Yo, it is the war game, playin' you like board games And I'm just comin' in, grabbin' more fame I'm killin' more lames, I'm gettin' more chains You think you is makin' it pour, I'm makin' more rain And if you wanna do it clean like the cocaine or propane When I explode, you know I know things 'Cause I have wisdom, it's a lyrical prisdom And if you wanna know 'cause I hit him, I ain't with him If he did that on Saturday night I can't tell you shit, you ain't fuckin' askin' me right You is just investigatin', debatin' if I was doin' shit Screw you, bitch, I'm about to do it 'cause you knew the shit I was right here, that's my fuckin' alibi You can't do it 'cause you know I'll make the battle-cry When I come back, I gotta battle rap Askin' me questions, homie, I'ma battle grap—battle back That's what I meant to say But if you think I was serious, I meant to play So if you wanna make me confuse you or use you Like a drug, I abuse you, it's what the Jews do I don't really care, true, boo, word I don't know 'cause it's the same shit ya heard Before the shit was word, before the shit float I do this shit, keep it warm like a coat I don't even know, the shits ain't wrote It's written, that shit is not written It's just lyrical, freestyle spittin' I ain't kiddin', I'm serious Make sure ya ears are open so you can be hearin' this A freestyle genius right there, I mean, come on"
Warhead,"{'api_path': '/albums/625481', 'cover_art_url': 'https://images.genius.com/2c7939c532e897ad64161b49baf7b9ba.180x180x1.png', 'full_title': 'But My Mackin’ Ain’t Easy by Mac Miller', 'id': 625481, 'name': 'But My Mackin’ Ain’t Easy', 'primary_artist_names': 'Mac Miller', 'release_date_for_display': 'November 1, 2007', 'url': 'https://genius.com/albums/Mac-miller/But-my-mackin-aint-easy', 'artist': {'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}, 'primary_artists': [{'api_path': '/artists/820', 'header_image_url': 'https://images.genius.com/3886cfd16c6087b2a926997fdaf8cc5d.300x300x1.png', 'id': 820, 'image_url': 'https://images.genius.com/b5c8bea50188b2f5e7fd8603541ed3dd.999x999x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Mac Miller', 'url': 'https://genius.com/artists/Mac-miller', 'iq': 47559}]}","(Biggie, Biggie) B-DuBB, Easy Mac And who else? (Biggie) Who is the man that taught ya how to rap and how to sell crack? What was his name? (Biggie) Ha Well, let me break it down like this Ayo, it's like, check it Beedie shot ya, whatcha gon' do? Heatie pops ya I'm sonnin' your style, call me papa Pop of a Glock, that's the sound when I drop ya Stuff your body parts in a locker Runnin' from the cops, Willy Parker And I ain't gonna walk on your set that you rep 'Cause your set full of talkers, straight snitches I'll punch you in your face, leave you with eight stitches Bitches, I play viscous Title is inevitable, I'm incredible Got lames hidin' behind frames like I was federal The fuckin' general, suck up on my genitals My flow's outta this world like I got some tentacles I'm with the pencil to murder instrumentals I'm spittin' ammunition, you better listen to potential I'm fifteen years old with no restrictions on the mental My mind flows as I go, I follow where I'm sent to Yo, Me and Mac blow ya back when we writin' it Or freestylin' on some ill, that's excitement Keep a fat sack and the gat at the side of him In case ya snakes try to take what I'm hidin' in I spit it slick, so sick, need a vitamin (Biggie; How are you gonna do it?) Aim it at ya forehead, leavin' four dead Bust in the door with lead and whores spread I'm a warhead, lookin' for more head Fuckin' on the floor 'til I got a sore head Pussy lips drippin', stingin' like a hornet Kickin' bitches out the door in the mornin' (Biggie) Rappers tryna spit it but they shit is corny I ain't even wit' it, man, for real I'm not the best at school but I'm set for college 'Cause when the bitch give me brains, yo, I get some knowledge I keep a few close friends and the rest will tarnish A few respectable rappers, the rest are garbage I proceed to gain yardage, this ain't Dwayne Carter I make it rain harder, game remain slaughter My brain remains smarter and you stay retarded You better add another name to today's departed I never wake up and lose my skill I get baked up and use 'em, ill The music real and every day I be movin' bills Makin' cake, hatin' jakes, puttin' dudes in jail And I'll tell you what they say right before they arrest you ""Anything you say can and will be used against you"" And even though they got no reason to resent you They treat you like you got a set of criminal credentials Me and B.DuBB are here to murder the game We gon' spit off every minute 'til you heard of the name We kickin' it exquisite, sittin' and gettin' lifted Bangin' music 'til the neighbor's pissed and I'm evicted 'Cause I be gettin' verbs workin' 'til I hear them birds chirpin' Yeah, preferred person in here, you heard certain Flirtin' with the lyrical spheres, your ears hurtin' Merkin' every peer that appear, your fears worsen I thought y'all mothafuckas already knew Easy Mac but his mackin' ain't easy And next comin' up is Beedie (Biggie; How are you gonna do it?) Kill the shit"
